Tsi,Ion,empty ,sensitivity,,Vth,empty,sensitivity
10.00971567,1.44E-06,8.37E-13,1.72E+06,,0.170178273,0.270993644,0.372021165
10.00985855,1.44E-06,8.37E-13,1.72E+06,,0.170180583,0.270993644,0.372012641
10.01000143,1.44E-06,8.37E-13,1.72E+06,,0.170182893,0.270993644,0.372004117
10.01014431,1.44E-06,8.37E-13,1.72E+06,,0.170185203,0.270993644,0.371995592
10.01028718,1.44E-06,8.37E-13,1.72E+06,,0.170187513,0.270993644,0.371987068
10.01043006,1.44E-06,8.37E-13,1.72E+06,,0.170189822,0.270993644,0.371978548
10.01057294,1.44E-06,8.37E-13,1.72E+06,,0.170192132,0.270993644,0.371970024
10.01071582,1.44E-06,8.37E-13,1.72E+06,,0.170194442,0.270993644,0.371961499
10.01085869,1.44E-06,8.37E-13,1.72E+06,,0.170196752,0.270993644,0.371952975
10.01100157,1.44E-06,8.37E-13,1.72E+06,,0.170199062,0.270993644,0.371944451
10.01114445,1.44E-06,8.37E-13,1.72E+06,,0.170201372,0.270993644,0.371935927
10.01128733,1.44E-06,8.37E-13,1.72E+06,,0.170203682,0.270993644,0.371927403
10.0114302,1.44E-06,8.37E-13,1.72E+06,,0.170205992,0.270993644,0.371918879
10.01157308,1.44E-06,8.37E-13,1.72E+06,,0.170208302,0.270993644,0.371910354
10.01171596,1.44E-06,8.37E-13,1.72E+06,,0.170210612,0.270993644,0.37190183
10.01185884,1.44E-06,8.37E-13,1.72E+06,,0.170212921,0.270993644,0.37189331
10.01200171,1.44E-06,8.37E-13,1.72E+06,,0.170215231,0.270993644,0.371884785
10.01214459,1.44E-06,8.37E-13,1.72E+06,,0.170217541,0.270993644,0.371876261
10.01228747,1.44E-06,8.37E-13,1.72E+06,,0.170219851,0.270993644,0.371867737
10.01243035,1.44E-06,8.37E-13,1.72E+06,,0.170222161,0.270993644,0.371859213
10.01257322,1.43E-06,8.37E-13,1.71E+06,,0.170224471,0.270993644,0.371850689
10.0127161,1.43E-06,8.37E-13,1.71E+06,,0.170226781,0.270993644,0.371842165
10.01285898,1.43E-06,8.37E-13,1.71E+06,,0.170229091,0.270993644,0.37183364
10.01300186,1.43E-06,8.37E-13,1.71E+06,,0.170231401,0.270993644,0.371825116
10.01314473,1.43E-06,8.37E-13,1.71E+06,,0.170233711,0.270993644,0.371816592
10.01328761,1.43E-06,8.37E-13,1.71E+06,,0.17023602,0.270993644,0.371808071
10.01343049,1.43E-06,8.37E-13,1.71E+06,,0.17023833,0.270993644,0.371799547
10.01357337,1.43E-06,8.37E-13,1.71E+06,,0.17024064,0.270993644,0.371791023
10.01371625,1.43E-06,8.37E-13,1.71E+06,,0.17024295,0.270993644,0.371782499
10.01385912,1.43E-06,8.37E-13,1.71E+06,,0.17024526,0.270993644,0.371773975
10.014002,1.43E-06,8.37E-13,1.71E+06,,0.17024757,0.270993644,0.371765451
10.01414488,1.43E-06,8.37E-13,1.71E+06,,0.17024988,0.270993644,0.371756926
10.01428776,1.43E-06,8.37E-13,1.71E+06,,0.17025219,0.270993644,0.371748402
10.01443063,1.43E-06,8.37E-13,1.71E+06,,0.1702545,0.270993644,0.371739878
10.01457351,1.43E-06,8.37E-13,1.71E+06,,0.17025681,0.270993644,0.371731354
10.01471639,1.43E-06,8.37E-13,1.71E+06,,0.170259119,0.270993644,0.371722833
10.01485927,1.43E-06,8.37E-13,1.71E+06,,0.170261429,0.270993644,0.371714309
10.01500214,1.43E-06,8.37E-13,1.71E+06,,0.170263739,0.270993644,0.371705785
10.01514502,1.43E-06,8.37E-13,1.71E+06,,0.170266049,0.270993644,0.371697261
10.0152879,1.43E-06,8.37E-13,1.71E+06,,0.170268359,0.270993644,0.371688737
10.01543078,1.43E-06,8.37E-13,1.71E+06,,0.170270669,0.270993644,0.371680212
10.01557365,1.43E-06,8.37E-13,1.71E+06,,0.170272979,0.270993644,0.371671688
10.01571653,1.43E-06,8.37E-13,1.71E+06,,0.170275289,0.270993644,0.371663164
10.01585941,1.43E-06,8.37E-13,1.71E+06,,0.170277599,0.270993644,0.37165464
10.01600229,1.43E-06,8.37E-13,1.71E+06,,0.170279908,0.270993644,0.371646119
10.01614516,1.43E-06,8.37E-13,1.71E+06,,0.170282218,0.270993644,0.371637595
10.01628804,1.43E-06,8.37E-13,1.71E+06,,0.170284528,0.270993644,0.371629071
10.01643092,1.43E-06,8.37E-13,1.71E+06,,0.170286838,0.270993644,0.371620547
10.0165738,1.43E-06,8.37E-13,1.71E+06,,0.170289148,0.270993644,0.371612023
10.01671667,1.43E-06,8.37E-13,1.71E+06,,0.170291458,0.270993644,0.371603498
10.01685955,1.43E-06,8.37E-13,1.71E+06,,0.170293768,0.270993644,0.371594974
10.01700243,1.43E-06,8.37E-13,1.71E+06,,0.170296078,0.270993644,0.37158645
10.01714531,1.43E-06,8.37E-13,1.71E+06,,0.170298388,0.270993644,0.371577926
10.01728818,1.43E-06,8.37E-13,1.71E+06,,0.170300698,0.270993644,0.371569402
10.01743106,1.43E-06,8.37E-13,1.71E+06,,0.170303007,0.270993644,0.371560881
10.01757394,1.43E-06,8.37E-13,1.71E+06,,0.170305317,0.270993644,0.371552357
10.01771682,1.43E-06,8.37E-13,1.71E+06,,0.170307627,0.270993644,0.371543833
10.01785969,1.43E-06,8.37E-13,1.71E+06,,0.170309937,0.270993644,0.371535309
10.01800257,1.43E-06,8.37E-13,1.71E+06,,0.170312247,0.270993644,0.371526784
10.01814545,1.43E-06,8.37E-13,1.71E+06,,0.170314557,0.270993644,0.37151826
10.01828833,1.43E-06,8.37E-13,1.71E+06,,0.170316867,0.270993644,0.371509736
10.0184312,1.43E-06,8.37E-13,1.71E+06,,0.170319177,0.270993644,0.371501212
10.01857408,1.43E-06,8.37E-13,1.71E+06,,0.170321487,0.270993644,0.371492688
10.01871696,1.43E-06,8.37E-13,1.71E+06,,0.170323797,0.270993644,0.371484164
10.01885984,1.43E-06,8.37E-13,1.71E+06,,0.170326106,0.270993644,0.371475643
10.01900271,1.43E-06,8.37E-13,1.71E+06,,0.170328416,0.270993644,0.371467119
10.01914559,1.43E-06,8.37E-13,1.71E+06,,0.170330726,0.270993644,0.371458595
10.01928847,1.43E-06,8.37E-13,1.71E+06,,0.170333036,0.270993644,0.37145007
10.01943135,1.43E-06,8.37E-13,1.71E+06,,0.170335346,0.270993644,0.371441546
10.01957422,1.43E-06,8.37E-13,1.71E+06,,0.170337656,0.270993644,0.371433022
10.0197171,1.43E-06,8.37E-13,1.71E+06,,0.170339966,0.270993644,0.371424498
10.01985998,1.43E-06,8.37E-13,1.71E+06,,0.170342276,0.270993644,0.371415974
10.02000286,1.43E-06,8.37E-13,1.71E+06,,0.170344586,0.270993644,0.37140745
10.02014574,1.43E-06,8.37E-13,1.71E+06,,0.170346895,0.270993644,0.371398929
10.02028861,1.43E-06,8.37E-13,1.71E+06,,0.170349205,0.270993644,0.371390405
10.02043149,1.43E-06,8.37E-13,1.71E+06,,0.170351515,0.270993644,0.371381881
10.02057437,1.43E-06,8.37E-13,1.71E+06,,0.170353825,0.270993644,0.371373356
10.02071725,1.43E-06,8.37E-13,1.71E+06,,0.170356135,0.270993644,0.371364832
10.02086012,1.42E-06,8.37E-13,1.70E+06,,0.170358445,0.270993644,0.371356308
10.021003,1.42E-06,8.37E-13,1.70E+06,,0.170360755,0.270993644,0.371347784
10.02114588,1.42E-06,8.37E-13,1.70E+06,,0.170363065,0.270993644,0.37133926
10.02128876,1.42E-06,8.37E-13,1.70E+06,,0.170365375,0.270993644,0.371330736
10.02143163,1.42E-06,8.37E-13,1.70E+06,,0.170367685,0.270993644,0.371322211
10.02157451,1.42E-06,8.37E-13,1.70E+06,,0.170369994,0.270993644,0.371313691
10.02171739,1.42E-06,8.37E-13,1.70E+06,,0.170372304,0.270993644,0.371305167
10.02186027,1.42E-06,8.37E-13,1.70E+06,,0.170374614,0.270993644,0.371296643
10.02200314,1.42E-06,8.37E-13,1.70E+06,,0.170376924,0.270993644,0.371288118
10.02214602,1.42E-06,8.37E-13,1.70E+06,,0.170379234,0.270993644,0.371279594
10.0222889,1.42E-06,8.37E-13,1.70E+06,,0.170381544,0.270993644,0.37127107
10.02243178,1.42E-06,8.37E-13,1.70E+06,,0.170383854,0.270993644,0.371262546
10.02257465,1.42E-06,8.37E-13,1.70E+06,,0.170386164,0.270993644,0.371254022
10.02271753,1.42E-06,8.37E-13,1.70E+06,,0.170388474,0.270993644,0.371245497
10.02286041,1.42E-06,8.37E-13,1.70E+06,,0.170390784,0.270993644,0.371236973
10.02300329,1.42E-06,8.37E-13,1.70E+06,,0.170393093,0.270993644,0.371228453
10.02314616,1.42E-06,8.37E-13,1.70E+06,,0.170395403,0.270993644,0.371219929
10.02328904,1.42E-06,8.37E-13,1.70E+06,,0.170397713,0.270993644,0.371211404
10.02343192,1.42E-06,8.37E-13,1.70E+06,,0.170400023,0.270993644,0.37120288
10.0235748,1.42E-06,8.37E-13,1.70E+06,,0.170402333,0.270993644,0.371194356
10.02371767,1.42E-06,8.37E-13,1.70E+06,,0.170404643,0.270993644,0.371185832
10.02386055,1.42E-06,8.37E-13,1.70E+06,,0.170406953,0.270993644,0.371177308
10.02400343,1.42E-06,8.37E-13,1.70E+06,,0.170409263,0.270993644,0.371168783
