C.Length,Ion,ion_air,ion_sensitivity,,Vth,vth_air,vth_sensitivity
243.1285898,9.83E-07,5.19E-14,1.89E+07,,0.174325905,0.42959254,0.594206396
243.130733,9.83E-07,5.19E-14,1.89E+07,,0.174326411,0.42959254,0.594205218
243.1328761,9.83E-07,5.19E-14,1.89E+07,,0.174326917,0.42959254,0.59420404
243.1350193,9.83E-07,5.19E-14,1.89E+07,,0.174327423,0.42959254,0.594202862
243.1371625,9.83E-07,5.19E-14,1.89E+07,,0.174327929,0.42959254,0.594201684
243.1393056,9.83E-07,5.19E-14,1.89E+07,,0.174328435,0.42959254,0.594200507
243.1414488,9.83E-07,5.19E-14,1.89E+07,,0.174328941,0.42959254,0.594199329
243.1435919,9.83E-07,5.19E-14,1.89E+07,,0.174329447,0.42959254,0.594198151
243.1457351,9.83E-07,5.19E-14,1.89E+07,,0.174329953,0.42959254,0.594196973
243.1478783,9.83E-07,5.19E-14,1.89E+07,,0.174330459,0.42959254,0.594195795
243.1500214,9.83E-07,5.19E-14,1.89E+07,,0.174330965,0.42959254,0.594194617
243.1521646,9.83E-07,5.19E-14,1.89E+07,,0.174331471,0.42959254,0.594193439
243.1543078,9.83E-07,5.19E-14,1.89E+07,,0.174331977,0.42959254,0.594192262
243.1564509,9.83E-07,5.19E-14,1.89E+07,,0.174332483,0.42959254,0.594191084
243.1585941,9.83E-07,5.19E-14,1.89E+07,,0.174332989,0.42959254,0.594189906
243.1607372,9.83E-07,5.19E-14,1.89E+07,,0.174333495,0.42959254,0.594188728
243.1628804,9.83E-07,5.19E-14,1.89E+07,,0.174334002,0.42959254,0.594187548
243.1650236,9.83E-07,5.19E-14,1.89E+07,,0.174334508,0.42959254,0.59418637
243.1671667,9.83E-07,5.19E-14,1.89E+07,,0.174335014,0.42959254,0.594185192
243.1693099,9.83E-07,5.19E-14,1.89E+07,,0.17433552,0.42959254,0.594184014
243.1714531,9.83E-07,5.19E-14,1.89E+07,,0.174336026,0.42959254,0.594182836
243.1735962,9.83E-07,5.19E-14,1.89E+07,,0.174336532,0.42959254,0.594181658
243.1757394,9.83E-07,5.19E-14,1.89E+07,,0.174337038,0.42959254,0.594180481
243.1778826,9.83E-07,5.19E-14,1.89E+07,,0.174337544,0.42959254,0.594179303
